Column1;text;iab_t1;classification_google;correct
64;Mis niets van onze videos en artikelen en volg Gids.tv op Facebook. Normaal gesproken gaat Chantal zelf de strijd aan met een BN’er, maar deze keer kijkt ze liever toe hoe Olcay en Ruud het met z’n tweeën uitvechten. Gelukkig is het koppel erg eerlijk in het beantwoorden van de vragen. Bekijk het volledige interview met Ruud en Olcay in de video van &C hieronder. ;Hobbies & Interests;"[""/Arts & Entertainment""]";1
67;"In Temptation: Love Or Leave hebben we kunnen zien dat Sonny en Jaydi de eindstreep niet met elkaar hebben gehaald. Sonny vertrekt vroegtijdig het programma. Er heerst veel commotie rondom Sonny en zijn uitspraken. Hoe kijkt Jaydi nu terug op hun relatie van drie jaar? Tekst gaat verder onder de video. View this post on Instagram Eigen schuld Jaydi heeft toch drie jaar een relatie gehad met Sonny. Inmiddels heeft Ricky die plaats van Sonny overgenomen en zijn de lovebirds niet meer van elkaar af te houden. Hoe kijkt Jaydi terug op de uitspraken die haar ex-vriend gedaan heeft? Jaydi: ""In het begin had ik zoiets van het is je eigen schuld. Maar ik vind het wel lullig en heftig voor hem, je gunt dat niemand."" Echter wil ze zijn uitspraken ook niet goedkeuren. Bekijk hierboven de video van RTL Boulevard. Temptation Island: Love or Leave is iedere donderdag bij Videoland te zien. Bekijk hier waar je Temptation Island: Love or Leave kunt kijken. ";Hobbies & Interests;"[""/Arts & Entertainment""]";1
68;Kom op beer, ben een beer! Met enige regelmaat plaatsen we hier stukjes over hoe gevaarlijk beren zijn en dat er van het Disney en Coca Cola beeld van deze wilde dieren geen snars klopt. Niets geen geknuffel met zo een jolige picknickmand stelende beer met een hoedje op. Zo een beest is een meedogenloze killer die er absoluut geen probleem mee heeft om je een koppie kleiner te maken als hij daar zin in heeft. Tenminste, de meeste van beren zijn zo. Je hebt blijkbaar ook een beer die heel bang is voor een minuscuul keffertje. Nep beer;Hobbies & Interests;"[""/Arts & Entertainment""]";1
78;"Hieronder zie je de eerste beelden van Ronald Goedemondt - Numero Uno. De show van Ronald Goedemondt is vanavond om 20:30 te zien op SBS6. Je kunt Numero Uno ook terugkijken bij Gids.tv. Tekst gaat verder onder de video. View this post on Instagram Niks te doen vanavond? SBS6 trakteert je vanaf vandaag (9 januari) iedere zaterdag op cabaret. Dus heb je zin om je lachspieren zijn werk te laten doen? Dan zit je vanavond gebakken met Ronald Goedemondt en zijn show Numero Uno: ""Ken je die dikke Brabantse hamster met dat colbertje?"" Bekijk alvast de eerste beelden van Numero Uno hierboven. ";Hobbies & Interests;"[""/Arts & Entertainment""]";1
80;MINDFUCK van donderdagavond 13 augustus. Je kunt hier na afloop de hele uitzending terugkijken. In aflevering 4 van MINDFUCK Caribbean laat Victor Mids weer zijn beste trucs zien. Hij is te gast op een Surinaamse plantage speelt een levensgevaarlijk spel met Fajah Lourens. Bekijk het hele item in de video hieronder. MINDFUCK gemist? Je kunt de leukste fragmenten en alle uitzendingen terugkijken bij Gids.tv. ;Hobbies & Interests;"[""/Arts & Entertainment""]";1
93;"de late editie van De Oranjezomer van maandag 14 juni. Je kunt ook de hele uitzending van De Oranjezomer van maandag terugkijken bij Gids.tv. Politiek verslaggever van BNR Nieuwsradio Thomas van Groningen bracht vanavond in De Oranjezomer positief nieuws over versoepelingen die het kabinet de komende tijd gaat doorvoeren. ""De achtste finales van het EK kunnen weer in de kroeg worden gekeken."" Bekijk het fragment uit De Oranjezomer hierboven. Je kunt de beste fragmenten en alle uitzendingen van De Oranjezomer";Hobbies & Interests;"[""/Arts & Entertainment""]";1
94;"NOORD-HOLLAND - Nu vuurwerk is verboden en ook het carbidschieten op veel plekken aan banden is gelegd, zijn er nog maar weinig alternatieven om tóch iets de lucht in te knallen met de jaarwisseling. Wensballonnen groeien in populariteit, maar ook hieraan kleven veel bezwaren. Het oplaten van een wensballon is een eeuwenoude Aziatische traditie, die in de loop der jaren ook bij ons populair is geworden. De techniek is simpel: met een vlammetje wordt een rijstpapieren zak volgeblazen met hete lucht, waarna de verlichte ballon langzaam naar boven stijgt totdat hij uit het zicht verdwijnt. Maar hoe mooi de traditie ook is, het verzet tegen de vuurballonnen groeit. Het oplaten is namelijk niet zonder gevaar. Vorig jaar werd bijvoorbeeld nog een apenverblijf in een Duitse dierentuin verwoest door een brand die werd veroorzaakt door een wensballon. In Duitsland zijn wensballonnen dan ook volledig verboden. Ook hier zijn we niet onbekend met de gevaren. Een aantal jaar geleden waarschuwden boswachters nog voor de gevolgen van wensballonnen op de natuur. En in 2009 veroorzaakte een ballon een brand die een villa in Loosdrecht volledig in de as legde. Lokale regels Maar in Nederland geldt er geen landelijk verbod. Gemeentes mogen namelijk zelf bepalen of het oplaten van wensballonnen is toegestaan. Deze regels staan in de Algemene Plaatselijke Verordening (APV). Uit een rondgang van NH Nieuws blijkt dat wensballonnen in de meeste gemeentes zijn verboden. Hiervoor geven ze verschillende redenen. Zo is het in t Gooi niet toegestaan door de vele rieten daken. Op andere plekken is het riscio op natuurbranden de doorslaggevende reden. Ook milieuvervuiling speelt een rol in de beslissing. In de onderstaande kaart zie je waar het wel en niet is toegestaan in Noord-Holland om een wensballon op te laten. Tekst gaat door onder de kaart In de plaatsen waar het oplaten van wensballonnen wel is toegestaan, gelden strikte regels. Zo moet de ballon door de Nederlandse Voedsel- en Warenautoriteit (NVWA) zijn goedgekeurd. Daarnaast mogen wensballonnen volgens de brandweer nooit worden opgelaten in slechte weersomstandigheden. Bij mist, regen, droogte of bij een windkracht van 2 Beaufort of hoger, moet je de ballon aan de grond houden. Sterker nog: de brandweer raadt het gebruik van wensballonnen af, valt te lezen op de site van de brandweer. ""De regels zijn namelijk zo ingewikkeld, dat het bijna niet mogelijk is om een wensballon veilig op te laten."" Dronken Ook verkopers van wensballonnen benadrukken de gevaren. Bij foutief gebruik kan het al snel misgaan, vertelt Janneke Groskamp van een Haarlemse feestwinkel. ""Als je m te snel loslaat is de ballon niet heet genoeg en dan gaat ie door de straat."" Ze geeft daarom altijd instructies mee voor gebruik bij verkoop. ""Ik zeg altijd: let op, hou m lang genoeg vast. Je moet echt het gevoel hebben dat die bijna uit je handen wil trekken."" Maar het oplaten van de wensballonnen gaat meestal met een slok op, weet ook Janneke. ""Het is net als met vuurwerk: als je een slok op hebt, dan gaat het fout. Dan worden mensen makkelijker."" Tips van de brandweer - Laat een ballon alleen buiten op, nooit binnenshuis - Laat een ballon altijd met twee mensen tegelijk op - Als je de ballon hebt aangestoken, wacht dan anderhalve minuut voordat je de ballon loslaat - Kijk de ballon zo lang mogelijk na. Bij gevaar kun je dan nog ingrijpen - Houd een emmer bluswater bij de hand Ook maakt het voor de veiligheid uit of je een dure of goedkope wensballon koopt. Directeur Jon Franken van een groothandelaar uit Weesp benadrukt dat er een verschil zit in de duurdere wensballonnen en goedkopere varianten. ""In 2009 zijn er allemaal testen gedaan met de NVWA om te komen tot een veilige wensballon. Maar niet allemaal voldoen ze daaraan. Het is heel pijnlijk om te zien hoe veel rotzooi er in de markt is. Weet gewoon waar je koopt."" Ondanks de gevaren, zijn de wensballonnen van nu wel een stuk beter voor het milieu dan een paar jaar geleden, benadrukt Groskamp. ""De binnenrand, waar de vlam aan vastzat, was van metaal. Dat brand niet weg en belandt dus in de natuur. Nu is die van hout gemaakt en papier. Dus nu houd je er niets aan over in de natuur. "" Lees ook Amsterdam Noord-Holland";Hobbies & Interests;"[""/Hobbies & Leisure""]";1
120;"TOKIO (ANP) - Sifan Hassan noemde het zelf een drama. Een val in de series van de 1500 meter verpestte haar hele voorbereiding op de finale van de 5000 meter bij de Olympische Spelen in Tokio.""Ik ben doodop nu. Niet alleen van de race, maar ook van al die onrust de hele dag. Het kostte me zoveel energie"", vertelde ze in de catacomben van het Olympisch Stadion van Tokio, een slordige anderhalf uur nadat ze met een fabelachtig snelle slotronde het goud had gewonnen op de 5000 meter. ""Ik weet nog steeds niet hoe ik het heb gedaan en ik kan het eigenlijk niet geloven."" Hassan liep maandagochtend Japanse tijd de serie van de 1500 meter. Bij ingaan van de laatste ronde rolde ze ineens over het tartan. ""Ze waren voor mij aan het wringen en vechten, dus ik hield al afstand. Ik weet toch dat ik de laatste 200 meter het verschil kan maken. Maar ik struikelde ineens over een andere atlete en lag op de grond. Ik dacht, het gaat me niet gebeuren dat ze gaan zeggen dat Sifan niet goed heeft gelopen. Ik ben hier op de Olympische Spelen, ik ga ervoor en probeer het."" Ze ging in de achtervolging met zeker 40 meter achterstand, met een enorme versnelling haalde ze het hele veld in en won de race. ""Ik liep de laatste 100 meter zelfs heel makkelijk."" Vermoeidheid Het gebeuren bleef haar de rest van de dag beheersen. Eerst was er de onrust, ze kon maar niet kalm worden. Daarna kwam de pijn van de val, ze voelde haar armen en benen. Tot slot voelde ze vermoeidheid. ""Ik wilde slapen, maar ook weer niet omdat ik me moest klaarmaken voor de finale van de 5000. Het was niet normaal. En ik dacht ook, had nou maar niet de keuze gemaakt om drie afstanden te lopen. Dom besluit."" In de finale voelde Hassan nog steeds die vermoeidheid. Ze liep het grootste deel van de race achterin. ""Ik voelde ook nog pijn en was blij dat het tempo niet zo hoog lag. Toen we nog twee ronden moesten lopen, begon ik te merken dat ik nog wat in me had en op 300 meter van de finish zette ik mijn versnelling in. Ik kan dat."" Juichend kwam ze over de finish en met de Nederlandse vlag om de schouders vierde ze het goud. De volgende missie is de 1500 meter, de afstand die ze zo leuk vindt dat ze die in Tokio erbij doet naast de 5000 en 10.000 meter. ""Ik volg mijn hart, het leven gaat niet alleen over goud, maar ook over wat je doet wat je graag wil. Ik bekijk het van race tot race. Goud heb ik al, de druk is eraf. Ik ben blij dat ik Nederland eindelijk weer een olympische titel heb bezorgd.""";Hobbies & Interests;"[""/Arts & Entertainment""]";1
130;In de tweede aflevering van de documentaireserie Frontlinie reist Bram Vermeulen naar de grens van Griekenland met Turkije. Daar wordt een zes meter hoge muur gebouwd om migranten en vluchtelingen tegen te houden. Bewaking Toch zijn nergens migranten of vluchtelingen te zien. Komt dit door de bewaking, corona, of is er iets anders aan de hand? Leegloop Intussen klagen de Griekse bewoners over de leegloop van de regio. Een aspergeboer schakelt een uitzendbureau in zodat migranten uit West-Afrika hem kunnen helpen. Schokkend Dan stuit Vermeulen met zijn ploeg op een grote groep Afghaanse vluchtelingen langs de grens. Zij vertellen een schokkend verhaal dat antwoord geeft op alle onbeantwoorde vragen. Als de Griekse politie de Afghanen in het vizier krijgt, wordt de filmploeg afgevoerd naar het politiebureau. ;Hobbies & Interests;"[""/Arts & Entertainment""]";1
141;"Een aanslag op de rechtsstaat, zo noemde Koning Willem-Alexander vanochtend de moordpoging op Peter R. de Vries. Helaas is het niet de eerste aanslag. Doen we genoeg om dit soort aanslagen te voorkomen? uitzending van Humberto van woensdag 7Humberto terugkijken bij Gids.tv. Aanslag op de rechtstaat Hoewel het eerder als niet gepast werd ervaren dat een aanslag op de rechtstaat genoemd werd, wil Humberto Tan het hier toch over hebben. Iedereen aan tafel is het eens met die uitspraak, mede ook omdat het iedereen aangaat. De vraag blijft; hoe zorg je ervoor dat de beïnvloedbare jongelui zich niet laat recruiteren voor dit soort misdaden? ";Hobbies & Interests;"[""/Arts & Entertainment""]";1
143;Uitzending van Fred Van Leer: Alles Uit De Kast gemist? Seizoen 3 - Aflevering 5 Anke (31) draagt nog steeds zwangerschapskleding. Wendy (40) is sinds haar hersenbloeding kilos aangekomen. Fred van Leer schiet te hulp! Bekijk deze aflevering van Fred Van Leer: Alles Uit De Kast hier terug. ;Hobbies & Interests;"[""/Arts & Entertainment""]";1
152;Miley Cyrus showt zich naakt via FaceTime Net als je denkt dat Miley Cyrus niet gekker kan worden, wordt ze gekker. Via Facetime liet ze zich naakt fotograferen. Ze poseert er zelfs voor. Nee, dit is geen jongen die even snel een paar extra zakcentjes wil verdienen door de naaktfoto’s op internet te plaatsen. Het is van een Amerikaans magazine die meer aandacht vraagt voor social media. Laten we het erop houden dat Miley laat zoen hoe je het niet hoort te gebruiken, of juist wel. Net wat je wil natuurlijk.;Hobbies & Interests;"[""/Arts & Entertainment""]";1
170;- Datum - Do 18 februari 2021 - Tijd - 01:10 tot 06:00 - Genre - Documentaire - Deel-url - gids.tv/25883550 Seizoen 1 - Aflevering 3 van 4 Ray en Diana, TJ en Tiffany, en Sam en Stevie delen hun meest intieme momenten op beeld. Meer op tv: Tour De France op tv , Cultuur op tv en Darts op tv ;Hobbies & Interests;"[""/Arts & Entertainment""]";1
191;Der Trafikant SYNOPSIS In het Oostenrijk van het jaar 1937 verlaat de 17-jarige Franz Huchel zijn rustige geboortedorp. Hij gaat bij de Weense tabakshandelaar Otto Trsnjek in de leer. Tot de vaste klanten van de kleine tabakswinkel behoort Sigmund Freud. Deze is al op leeftijd en ziek. Vanaf het begin is Franz gefascineerd door Freud. Wanneer de jongen hopeloos verliefd wordt op een mooie danseres, vraagt hij Freud om raad. Intussen rukt het nazisme steeds verder op. The Tobacconist (Duitse titel: Der Trafikant) is een Duitse en Oostenrijkse dramafilm uit het jaar 2018. De hoofdrollen worden vertolkt door Simon Morzé en Johannes Krisch. Ook speelt acteur Bruno Ganz (Der Untergang) mee, in één van zijn laatste rollen. ;Hobbies & Interests;"[""/Arts & Entertainment""]";1
198;Uitzending van Familie Gillis: massa is kassa6 van 8 Multimiljonair Peter Gillis koopt een nieuw vakantiepark en bereidt daarmee zijn imperium uit van tien naar elf parken. Terwijl Peter samen met zijn rechterhand Frans op zoek gaat naar geschikte parkmanagers, krijgt Nicol een verontrustend telefoontje van haar moeder. Peter is het beu dat de caravans tijdens zijn controles nooit op orde zijn, daarom roept hij een keurmerk in het leven. Lukt het Mark en Richard om een keurmerk te verdienen? Bekijk deze aflevering van Familie Gillis: massa is kassa hier terug.;Hobbies & Interests;"[""/Arts & Entertainment""]";1
212;vroege editie van De OranjezomerDe Oranjezomer van donderdag terugkijken bij Gids.tv. Eén van de ereleden bleek een NSB-verleden te hebben en dertig moorden op zijn naam te hebben staan. Willem II heeft hem voor het gemak altijd maar als erelid gehouden, legt Johan Derksen uit in De Oranjezomer. Dit zegt ook veel over die club. Iedereen wist dit. Bekijk het fragment uit De Oranjezomer hierboven. Je kunt de beste fragmenten en alle uitzendingen van De Oranjezomer;Hobbies & Interests;"[""/Arts & Entertainment""]";1
216;Beschrijving !! Knapste (welsh cob) projectjes ter ?? !! Cappuccino (foto 1 tm 5) • 12 jaar • ruin • Stamboek Welsh Cob • 1.50m Espresso (foto 6 tm 10) • 14 jaar • ruin • Stamboek Welsh Cob • 1.50m Deze twee knappe halfbroers zouden een mooi dubbelspan zijn! Beiden zijn nu een maand in mijn bezit. Ze hebben slechte ervaringen met mensen en zijn daardoor erg schuw. In een maand tijd is het ons al gelukt om Espresso te kunnen poetsen/ wandelen aan de hand. Met Cappuccino longeren we ook al en hij komt in de weide zelfs naar je toe! Hij heeft al een hoofdstelletje met bitje in gehad maar we zijn totaal niet bezig met beleren omdat we vertrouwen het belangrijkst vinden. Let op, ze zijn super nieuwsgierig maar nog wel schuw. Ze gaan enkel naar een 5* stalletje want deze knapperds verdienen nu echt 100% een goede plek. - Type: Recreatiepaard - Geslacht: Meerdere Dieren - Leeftijd: 12jr. - Niveau: Onbeleed - Schofthoogte: 150cm - Eigenschappen: Met Stamboom 1 advertentie 5;Hobbies & Interests;"[""/Hobbies & Leisure"", ""/Pets & Animals/Pets/Horses""]";1
220;"Aflevering 404 Die 18-jährige Argentinierin Juana befindet sich für ein Austauschjahr in Deutschland, als sie in Verdacht gerät, die Mitbewohnerin ihres Freundes getötet zu haben. Doch Juanas Gastmutter Nadine ist von Juanas Unschuld überzeugt. Zusammen mit Anwältin Ulrike Tasic will sie verhindern, dass Juana jahrelang ins Gefängnis muss. Di 20 juli 2021 | 02:45 Die Bienenflüsterer Aflevering 11 van 15 Wildbienen sind vielen Bedrohungen ausgesetzt - und zunehmend auf Schutz angewiesen. Viele Arten stehen auf der Roten Liste und sind vom Aussterben bedroht. &quot;Die Bienenflüsterer&quot; handelt von der einzigartigen Beziehung zwischen Menschen und Bienen. In 15 Geschichten von fünf Kontinenten zeigt die Reihe die Schönheit und Vielfalt der Bienenvölker, alte Traditionen und Techniken von Imkern aus aller Welt und Rituale, die der Mensch im Kontakt mit den faszinierenden Insekten entwickelt hat. Und sie begleitet Honigsammler: in den abgelegenen Tälern des Himalaja, im nächtlichen Dschungel Indonesiens, in Argentinien und in Äthiopien, wo die Bienen im Dienst des Glaubens stehen. ";Hobbies & Interests;"[""/Arts & Entertainment""]";1
226;- Datum - Ma 16 augustus 2021 - Tijd - 11:05 tot 14:25 - Zender - VTM 3 - Genre - Serie/soap - Acteurs - Florian Frowein, Dieter Bach, Sepp Schauer, Jenny Löffler, Lorenzo Patané, Léa Wegmann - Deel-url - gids.tv/26836388 Werner en Robert bereiden hun plan voor om van Christoph af te komen. Ondertussen is Linda akkoord om de aandelen van Christoph over te nemen. Franzi vertelt Steffen toch over het testament van Dirk, waarop Steffen meteen met zijn moeder gaat praten. Ze zijn het erover eens dat ze Dirk in de gaten moeten houden. Vanessa en Paul sluiten een weddenschap. Onze nieuwe app is nu al te testen! Download hem op apps.gids.tv Sturm der Liebe op tv . ;Hobbies & Interests;"[""/Arts & Entertainment""]";1
230;"Jan heeft een TT-camping, maar daar is het zowel dit jaar, als vorig jaar erg rustig. TT-fans die voor een feestje de camping bezoeken, komen bedrogen uit. Vorig jaar was het muisstil op de camping, maar nu kunnen de bezoekers nog wel genieten van de ronkende motoren. ""Het is dood en doodzonde"", aldus een van de bewoners van Assen. Bekijk de video van Hart van Nederland hieronder. ";Hobbies & Interests;"[""/Hobbies & Leisure/Outdoors/Hiking & Camping""]";1
231;"Beelden Barbie als webcamgirl Eerder deze week het nieuws dat Samantha de Jong aka Oh Oh Cherso Barbie op donderdag 18 april achter de webcam zou plaatsnemen en bij dit bericht hadden we wat exclusieve promotiefotos van Barbie geplaatst. Aan de reacties op het internet te lezen nam niet iedereen de plannen van Barbie in dank af, zeker het management van de ""reality-ster"" niet, want als Barbie naakt zou gaan, zou ze het contract met RTL wel tussen haar nieuwe grote borsten mogen proppen. Toch namen veel mensen gisteravond een kijkje op de webcam en wij hebben als eerste de aftermovie van Barbie als webcamgirl. Kun jij dit weekend in de kroeg toch meepraten over een webcammende Barbie. We weten niet of Barbie in de weg gelegd is als webcamdame, maar anders kun je altijd nog bij Bobbi Eden terecht";Hobbies & Interests;"[""/Arts & Entertainment""]";1
233;Deze week is een gloednieuw seizoen begonnen van Say Yes To The Dress Benelux. Hierin helpt Fred van Leer dames met het vinden van de perfecte bruidsjurk. Hieronder kun je alvast de eerste beelden zien van de tweede aflevering van het nieuwe seizoen… Het nieuwe seizoen van Say Yes To The Dress Benelux is sinds dinsdag 13 augustus wekelijks om 20.30 uur te zien bij TLC. Lees hier op welk kanaal TLC te zien is bij jouw tv-aanbieder. ;Hobbies & Interests;"[""/Arts & Entertainment"", ""/Shopping/Apparel/Women's Clothing""]";1
234;- Datum - Zo 14 februari 2021 - Tijd - 11:05 tot 11:24 - Genre - Informatief - Acteurs - Joram Kaat - Deel-url - gids.tv/25861724 Seizoen 2 - Aflevering 7 van 17 - Single zijn Vanuit studio 61 in het EO-gebouw organiseert BEAM, de jongerenafdeling van de EO, een livekerkdienst. Presentator Joram Kaat ontvangt de BEAM Worshipband en spreker Wilke Stuij. Aansluitend aan de uitzending praten we door op YouTube. Meer op tv: Liverpool op tv , Entertainment op tv en Live op tv ;Hobbies & Interests;"[""/Arts & Entertainment""]";1
247;Nieuwe vlam van Barbie is ook acteur in natuurfilms? Samantha de Jong aka Barbie, ken je haar nog? Beroemd in Nederland door deelname in reality soaps, maar echt wereldberoemd in eigen land gemaakt door een aantal gelekte natuurfilms. En die films maakte ze met pornoster Rolf Tangel. Inmiddels is dat geen setje meer, wist Barbie zelfs in de kliniek waar ze zat om af te kicken het nieuws te halen en kwam een paar dagen geleden het nieuws dat ze een nieuwe vlam zou hebben. En deze Sonny Oosterveer zou weer iets gemeen hebben met haar ex Rolf Tangel, want deze schijnt ook natuurfilms te maken. En het bewijs zou allemaal te zien zijn in deze video. Let op, de video is NSFW. Tip via WhatsApp (06 590 590 72);Hobbies & Interests;"[""/Arts & Entertainment"", ""/Shopping/Toys/Dolls & Accessories""]";1
